time,command,current,temperature
2020-03-26 19:17:39.136125,26.0,0.488,26.729
2020-03-26 19:17:39.183628,26.0,0.347,26.565
2020-03-26 19:17:39.231579,26.0,0.432,26.473
2020-03-26 19:17:39.279529,26.0,0.498,26.379
2020-03-26 19:17:39.327480,26.0,0.498,26.269
2020-03-26 19:17:39.375431,26.0,0.388,26.189
2020-03-26 19:17:39.423379,26.0,0.222,26.152
2020-03-26 19:17:39.471329,26.0,0.201,26.134
2020-03-26 19:17:39.519280,26.0,0.262,26.104
2020-03-26 19:17:39.566232,26.0,0.289,26.058
2020-03-26 19:17:39.614184,26.0,0.225,26.04
2020-03-26 19:17:39.662132,26.0,0.131,26.034
2020-03-26 19:17:39.709796,26.0,0.179,26.034
2020-03-26 19:17:39.757746,26.0,0.199,26.028
2020-03-26 19:17:39.805697,26.0,0.193,26.009
2020-03-26 19:17:39.853647,26.0,0.138,25.995
2020-03-26 19:17:39.901597,26.0,0.134,25.99
2020-03-26 19:17:39.949547,26.0,0.151,25.993
2020-03-26 19:17:39.996499,26.0,0.174,25.988
2020-03-26 19:17:40.044450,26.0,0.149,25.976
2020-03-26 19:17:40.092400,26.0,0.117,25.971
2020-03-26 19:17:40.140350,26.0,0.128,25.971
2020-03-26 19:17:40.188300,26.0,0.138,25.972
2020-03-26 19:17:40.236251,26.0,0.142,25.976
2020-03-26 19:17:40.284200,26.0,0.155,25.972
2020-03-26 19:17:40.332152,26.0,0.129,25.963
2020-03-26 19:17:40.379673,26.0,0.106,25.964
2020-03-26 19:17:40.427625,26.0,0.131,25.967
2020-03-26 19:17:40.474577,26.0,0.131,25.968
2020-03-26 19:17:40.522525,26.0,0.137,25.965
2020-03-26 19:17:40.570475,26.0,0.135,25.961
2020-03-26 19:17:40.618426,26.0,0.123,25.962
2020-03-26 19:17:40.666376,26.0,0.114,25.967
2020-03-26 19:17:40.714328,26.0,0.128,25.966
2020-03-26 19:17:40.762277,26.0,0.142,25.964
2020-03-26 19:17:40.810228,26.0,0.126,25.962
2020-03-26 19:17:40.858178,26.0,0.121,25.962
2020-03-26 19:17:40.905130,26.0,0.12,25.963
2020-03-26 19:17:40.953080,26.0,0.127,25.965
2020-03-26 19:17:41.001703,26.0,0.131,25.964
2020-03-26 19:17:41.048656,26.0,0.121,25.966
2020-03-26 19:17:41.096605,26.0,0.131,25.966
2020-03-26 19:17:41.144555,26.0,0.127,25.963
2020-03-26 19:17:41.192506,26.0,0.113,25.963
2020-03-26 19:17:41.240455,26.0,0.122,25.964
2020-03-26 19:17:41.288407,26.0,0.125,25.967
2020-03-26 19:17:41.336356,26.0,0.132,25.968
2020-03-26 19:17:41.383308,26.0,0.129,25.964
2020-03-26 19:17:41.431259,26.0,0.112,25.959
2020-03-26 19:17:41.479210,26.0,0.102,25.969
2020-03-26 19:17:41.527161,26.0,0.151,25.97
2020-03-26 19:17:41.574703,26.0,0.13,25.973
2020-03-26 19:17:41.622653,26.0,0.13,25.966
2020-03-26 19:17:41.670604,26.0,0.136,25.966
2020-03-26 19:17:41.718554,26.0,0.104,25.968
2020-03-26 19:17:41.766503,26.0,0.121,25.969
2020-03-26 19:17:41.814453,26.0,0.128,25.97
2020-03-26 19:17:41.862404,26.0,0.127,25.968
2020-03-26 19:17:41.909355,26.0,0.127,25.968
2020-03-26 19:17:41.957305,26.0,0.116,25.972
2020-03-26 19:17:42.005256,26.0,0.121,25.972
2020-03-26 19:17:42.053205,26.0,0.135,25.972
2020-03-26 19:17:42.101187,26.0,0.126,25.973
2020-03-26 19:17:42.149108,26.0,0.128,25.969
2020-03-26 19:17:42.196630,26.0,0.111,25.968
2020-03-26 19:17:42.244580,26.0,0.119,25.972
2020-03-26 19:17:42.292529,26.0,0.133,25.973
2020-03-26 19:17:42.340479,26.0,0.128,25.974
2020-03-26 19:17:42.388429,26.0,0.128,25.968
2020-03-26 19:17:42.435381,26.0,0.103,25.971
2020-03-26 19:17:42.483331,26.0,0.129,25.977
